"ft_dem","ft_rep","race","income","sex","white","black","hispanic","other","vote_obama"
30,70,1,15,0,1,0,0,0,0
100,0,1,18,0,1,0,0,0,1
60,30,1,11,0,1,0,0,0,1
0,85,1,13,1,1,0,0,0,0
70,0,3,6,1,0,0,1,0,1
0,85,1,23,1,1,0,0,0,0
15,85,1,2,0,1,0,0,0,0
15,70,1,25,0,1,0,0,0,0
85,15,1,11,1,1,0,0,0,1
70,40,1,21,1,1,0,0,0,1
70,30,3,9,0,0,0,1,0,1
50,85,1,8,1,1,0,0,0,0
30,85,1,13,1,1,0,0,0,0
100,0,1,5,1,1,0,0,0,1
40,50,1,11,1,1,0,0,0,0
95,70,1,12,1,1,0,0,0,1
50,50,3,11,0,0,0,1,0,1
70,40,4,14,0,0,0,0,1,1
50,50,1,8,1,1,0,0,0,1
70,15,1,11,0,1,0,0,0,1
75,35,1,1,1,1,0,0,0,1
70,0,2,2,0,0,1,0,0,1
8,7,2,3,0,0,1,0,0,1
85,50,2,2,1,0,1,0,0,1
100,0,2,3,0,0,1,0,0,1
60,100,4,24,0,0,0,0,1,0
60,0,3,14,1,0,0,1,0,1
60,30,3,11,0,0,0,1,0,1
100,70,3,11,0,0,0,1,0,1
50,50,3,10,1,0,0,1,0,1
100,0,3,17,0,0,0,1,0,1
70,30,3,14,1,0,0,1,0,1
50,15,3,1,0,0,0,1,0,1
100,0,3,18,1,0,0,1,0,1
100,15,3,16,1,0,0,1,0,1
85,60,3,3,0,0,0,1,0,1
70,50,3,11,0,0,0,1,0,1
85,40,3,3,1,0,0,1,0,1
50,50,3,18,1,0,0,1,0,0
60,60,3,20,0,0,0,1,0,1
100,50,3,9,0,0,0,1,0,1
40,60,3,22,1,0,0,1,0,0
70,50,3,18,0,0,0,1,0,1
50,50,3,15,1,0,0,1,0,1
85,60,3,23,1,0,0,1,0,1
60,40,3,21,0,0,0,1,0,1
40,60,3,23,0,0,0,1,0,0
100,50,3,13,1,0,0,1,0,1
85,15,3,25,0,0,0,1,0,1
100,50,1,1,1,1,0,0,0,1
60,40,3,18,1,0,0,1,0,1
60,50,3,21,0,0,0,1,0,1
100,15,2,12,0,0,1,0,0,1
70,15,2,23,0,0,1,0,0,1
100,0,2,11,1,0,1,0,0,1
85,0,2,18,0,0,1,0,0,1
100,0,2,12,1,0,1,0,0,1
100,40,2,7,1,0,1,0,0,1
100,40,2,1,0,0,1,0,0,1
-2,50,2,1,0,0,1,0,0,1
100,0,2,2,0,0,1,0,0,1
70,70,2,13,1,0,1,0,0,1
50,50,2,15,1,0,1,0,0,1
70,30,2,18,1,0,1,0,0,1
70,50,2,16,1,0,1,0,0,1
100,0,2,13,1,0,1,0,0,1
85,15,2,23,0,0,1,0,0,1
60,40,2,22,1,0,1,0,0,1
70,15,2,20,0,0,1,0,0,1
85,50,2,18,0,0,1,0,0,1
100,50,2,12,1,0,1,0,0,1
85,15,2,15,0,0,1,0,0,1
85,50,2,12,1,0,1,0,0,1
85,0,2,8,1,0,1,0,0,1
100,0,2,13,1,0,1,0,0,1
70,15,2,13,0,0,1,0,0,1
70,40,2,22,1,0,1,0,0,1
85,0,2,11,1,0,1,0,0,1
85,40,2,7,0,0,1,0,0,1
85,50,2,11,1,0,1,0,0,1
85,50,2,19,1,0,1,0,0,1
60,30,2,19,0,0,1,0,0,1
100,15,2,3,1,0,1,0,0,1
90,30,2,14,1,0,1,0,0,1
70,60,4,13,0,0,0,0,1,1
85,0,2,1,1,0,1,0,0,1
85,40,2,14,1,0,1,0,0,1
70,50,2,13,1,0,1,0,0,1
100,50,2,9,1,0,1,0,0,1
